Zaman damgası,  Yaşınız   ,  Cinsiyetiniz ,  En çok dinlediğiniz müzik türü  ,Müzikte cinsiyetçi söylemlerin toplum üzerinde etkili olduğunu düşünüyorum.  ,Şarkılarda kadınların aşağılanmasını rahatsız edici buluyorum.  ,Şarkı sözleri insanların kadınlara bakışını etkileyebilir.  ,Ünlülerin söylemleri/davranışları hayranları etkileyebilir.  ,Müziğin kadın düşmanlığını normalleştirdiğini düşünüyorum.  ,"Söz 1:  ""Manita baya kasvetli
O vücuduyla beni hapsetti
""Tek gecelik, bi' daha olmaz"" diyince
Ben de dayanamadım, gasp ettim"" - B4TU INC
Sizce bu ifade tacizi normalleştiriyor mu?  ","Söz 2: ""Taktım beşe, çıktım E5'e (E5)
E5'te bi' bayan dedi ""Bana dayan"" (Oo)
Dayandım, dayandım, davada uyandım
Hâkim dedi ""Ne iş?"", ben dedim ""S*k*ş"" -Ravend
Sizce bu ifade tacizi normalleştiriyor mu?  ","Söz 3: ""Elon Musk değilim ama 
k*ltağı sürüyo'm sanki bi' Tesla""
""Sanırım bastım karına
Pasladım onu agalarıma"" -DEHA INC
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 4: ""S*rtüğe bak (bak, bak)
S*rtüğe bak (bak, bak)
İstiyo beni (istiyo o)
O s*rtüğe bak (s*rtüğe bak)"" -Khontkar
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 5: ""S*rtük göz kamaştırır
Arkadaşıyla tanıştırır
Beni iyi araştırır
Yanına beni yaraştırır"" -Reckol
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 6: ""Ketojenik or*spular, s*kim bi' kahvaltı""
""Spiritüel or*spular revaçta ve erimiyo
Adamımın k*ltağıyım, inemiyo'm"" -EGE! & Lil Zey
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 7: "" Rüyalarımdasın sen yatağında uyurken (Slatt)
S*ktim seni, attım otoban kenarına
Yaptım hatunun saçından Voodoo oyuncağı"" -13Killoki & Qimp
Sizce bu ifade tacizi normalleştiriyor mu?  ","Söz 8: ""S*rtük taş gibi
Osman dedi bildiğim şeyleri
Yalamaya başla, en sevdiğim laflar
Yeni drip, bunları sevdin mi abla?  "" -SWIRF & yungcihad
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 9: ""Görüyorsun yanımda motor gibi manitayı (manitayı)"" -Keişan & Anıl Piyancı
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 10: ""Adı Katarina, verdim tam arasına
Dedi, ""Lütfen tekrar gel ara sıra""
""Tanıştım Bebek'te, adı Natasha
Dedim, ""Uzatma bebek, yat aşa'"" -Era7capone & Batuflex & Narco
Sizce bu ifade kadını nesneleştiriyor mu?  ",Günlük hayatta kadın düşmanlığına sık rastladığımı düşünüyorum.,Cinsiyetçi müzik dinleyen kişilerin bu söylemleri ilişkilerine yansıttığını gözlemledim.  ,"Sizce müzik platformları (Spotify, YouTube vb.) bu tarz içerikleri filtrelemeli midir?  ", Bugüne kadar dinlediğiniz şarkılarda kadın düşmanlığı fark ettiniz mi?  ,Şarkılardaki cinsiyetçi söylemlere karşı daha fazla farkındalık oluşturulması gerektiğini düşünüyorum.  ,  Bu konuda bir proje/çalışma yapılmasının önemli olduğunu düşünüyorum.  ,Cinsiyetçi sözler içeren şarkıları dinlemeyi bırakırım.,Şiddet içerikli sözler normalleştirici etki yaratıyor.  
30.11.2025 17:15:28,19-24,Kadın,Pop,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:16:02,19-24,Kadın,Çoğu türü dinliyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Hayır.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:16:18,19-24,Kadın,Rock/Metal,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Emin değilim.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:16:59,15-18,Kadın,Pop,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:17:49,19-24,Kadın,Çoğu türü dinliyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Emin değilim.,Emin değilim.,Evet.,Evet.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.
30.11.2025 17:18:41,19-24,Erkek,Pop,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Emin değilim.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:19:15,15-18,Kadın,Pop,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Hayır.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:21:10,19-24,Erkek,Çoğu türü dinliyorum.,Kararsızım.,Katılıyorum.,Katılmıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Katılmıyorum.,Katılmıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Emin değilim.,Emin değilim.,Emin değilim.,Hayır.,Kararsızım.,Kararsızım.,Kararsızım.,Katılmıyorum.
30.11.2025 17:21:20,15-18,Erkek,Rap/Hip-hop,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:21:27,15-18,Kadın,Rock/Metal,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Emin değilim.,Evet.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.
30.11.2025 17:21:57,19-24,Erkek,Rock/Metal,Katılıyorum.,Katılıyorum.,Kararsızım.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılmıyorum.,Katılıyorum.,Hayır.,Hayır.,Evet.,Evet.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:23:13,19-24,Kadın,Pop,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Emin değilim.,Emin değilim.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
